STRAIN	AATT01000295.1	AATT01000296.1	AATT01000297.1	AATT01000298.1	AATT01000299.1	AATT01000300.1	AATT01000301.1	AATT01000302.1	AATT01000303.1	AATT01000306.1	AATT01000307.1	AATT01000308.1	AATT01000309.1	AATT01000310.1	AATT01000314.1	AATT01000315.1	AATT01000316.1	AATT01000317.1	AATT01000318.1	AATT01000319.1	AATT01000320.1	AATT01000321.1	AATT01000322.1	AATT01000323.1	AATT01000324.1	AATT01000325.1	AATT01000326.1	AATT01000327.1	AATT01000328.1	AATT01000329.1	AATT01000330.1	AATT01000331.1	AATT01000332.1	AATT01000333.1	AATT01000334.1	AATT01000335.1	AATT01000338.1	AATT01000339.1	AATT01000340.1	AATT01000341.1	AATT01000342.1	AATT01000343.1	AATT01000344.1	AATT01000345.1	AATT01000346.1	AATT01000347.1	AATT01000348.1	DS022300.1	DS022301.1	DS022302.1	DS022303.1	DS022304.1	DS022305.1	DS022306.1	DS022307.1	DS022308.1	DS022309.1	DS022310.1	DS022311.1	DS022312.1	DS022313.1	DS022314.1	DS022315.1	DS022316.1	DS022317.1	DS022318.1	DS022319.1	DS022320.1	DS022321.1	DS022322.1	TF5a1_Bdvirus
IA_12No10	96.86	134.22	91.89	450.70	107.90	172.79	153.66	302.18	121.77	137.29	120.61	290.31	112.24	138.76	111.94	87.92	123.98	210.34	98.78	696.41	110.74	89.37	70.95	128.86	109.67	524.83	146.02	886.79	132.50	972.94	87.66	1387.64	1067.16	69.54	162.49	570.59	188.03	33.92	75.00	88.44	84.58	129.98	971.86	97.96	18.79	2747.87	2070.67	136.51	147.98	146.66	136.95	138.31	142.76	148.22	145.71	133.23	137.13	136.42	134.37	150.17	384.38	140.09	134.23	98.90	210.64	81.46	82.49	622.26	1215.21	1143.38	0.00
IA_12No3	93.99	130.52	89.77	361.28	101.74	182.99	147.94	275.74	118.04	96.97	114.28	260.59	106.44	134.05	115.53	84.80	114.84	174.52	94.87	828.53	135.03	87.39	74.14	120.00	109.62	458.82	144.50	577.89	125.37	955.93	86.28	1505.81	988.88	66.27	155.95	477.68	177.63	34.46	70.47	82.82	86.67	124.36	1003.66	94.06	18.58	2724.15	2098.24	132.95	145.28	141.67	132.88	135.03	138.58	144.11	143.74	129.70	133.61	132.84	130.99	146.48	390.22	135.49	130.69	95.69	191.79	80.40	78.25	674.41	1211.47	1139.37	0.00
IA_12No4	121.96	172.14	115.81	509.82	134.39	210.03	190.79	342.02	152.38	124.32	148.56	337.96	137.32	173.01	136.54	111.12	154.72	231.95	124.30	1031.06	146.20	113.46	94.79	156.97	140.51	594.17	181.86	909.96	163.16	1072.29	110.93	1517.39	1195.67	86.02	200.08	611.91	239.85	40.55	95.28	108.75	109.65	163.74	1188.35	123.58	25.48	2933.53	2348.83	173.55	185.88	185.24	173.30	172.73	180.04	186.28	182.65	168.46	173.09	173.23	169.74	190.74	449.93	176.53	170.44	125.58	249.25	102.81	103.84	697.91	1511.97	1542.64	0.00
IA_12No5	121.97	159.36	112.43	431.17	134.14	200.01	193.64	350.55	150.08	126.31	141.07	363.43	132.98	168.28	137.34	110.62	161.44	241.66	132.18	569.59	146.86	113.62	94.24	155.01	137.66	557.47	181.63	725.80	161.69	768.78	116.65	1071.71	1040.04	83.87	202.07	637.60	231.25	44.60	92.78	122.01	108.23	163.31	1122.98	127.47	26.62	2041.41	1568.48	169.93	180.64	178.44	169.26	168.34	174.31	182.00	178.27	166.34	170.27	168.59	165.10	185.28	370.39	172.87	167.03	121.28	239.44	97.48	98.33	525.14	1546.02	974.27	0.00
IA_12No8	117.47	162.91	112.93	425.81	130.18	206.16	185.84	366.74	144.92	120.96	143.95	316.58	130.69	168.90	132.29	108.14	147.44	226.41	117.55	670.89	139.42	107.08	94.98	147.54	132.46	596.13	175.49	643.68	158.75	962.79	104.56	921.86	1195.44	81.70	194.09	754.41	224.60	40.81	89.66	105.20	106.35	156.08	1062.71	115.63	23.06	1585.50	1158.50	164.40	176.87	174.03	167.89	163.00	169.68	176.68	171.08	159.95	163.92	164.36	161.41	180.13	379.06	167.67	162.96	119.17	231.94	96.88	98.20	710.52	1431.91	1106.96	0.00
IA_13No1	81.52	116.34	81.91	324.86	86.17	128.26	141.84	227.50	107.46	85.60	86.85	238.57	103.76	112.86	98.25	67.25	117.54	177.13	107.77	698.74	103.39	73.86	60.41	101.38	89.93	396.47	131.51	641.29	101.50	560.34	78.89	772.78	736.27	56.20	137.54	469.38	158.97	28.85	50.61	83.68	70.41	106.06	951.93	91.40	15.46	1584.29	1433.19	126.50	137.21	128.48	124.55	123.46	127.89	133.22	130.52	122.93	123.30	121.93	118.11	133.93	288.32	126.31	117.70	87.69	170.21	66.13	63.88	446.59	963.77	1120.23	0.00
IA_13No13_48	79.24	118.60	82.29	383.92	85.64	116.85	148.65	256.92	110.70	85.70	79.75	260.61	104.10	112.88	99.69	67.61	124.84	229.74	135.19	850.89	101.31	71.90	59.86	99.10	93.25	509.56	136.76	809.34	101.45	1006.52	82.92	1246.80	1001.88	53.30	136.20	617.24	149.50	31.36	43.39	92.76	67.00	107.66	1044.95	94.27	14.64	2404.18	2434.80	131.48	143.35	132.22	125.83	125.30	128.15	137.49	135.12	121.58	125.89	124.57	115.73	138.10	377.80	128.59	117.69	89.66	194.22	67.70	66.31	605.10	1096.64	1453.64	0.00
IA_13No13_60	120.42	158.41	111.95	543.12	133.15	195.45	201.54	419.25	153.74	121.93	129.39	404.75	127.95	163.23	138.02	108.41	168.25	340.99	146.01	607.23	141.42	115.74	83.96	150.52	131.57	743.74	177.80	1134.30	143.47	1522.54	123.03	1914.94	1415.62	76.70	189.31	918.58	205.82	49.39	89.24	138.51	111.59	152.89	1325.00	131.05	24.60	3418.81	2349.69	171.66	187.10	180.35	165.38	165.52	168.05	184.50	181.84	156.46	170.83	168.64	156.20	185.29	467.42	172.66	166.13	122.01	275.17	96.92	97.05	699.91	1469.70	944.27	0.48
IA_13No6	96.53	128.59	88.76	336.55	107.78	156.64	157.00	250.62	119.85	97.82	108.22	253.05	108.53	134.22	117.23	84.25	129.47	168.51	119.01	428.46	113.10	90.33	69.14	117.89	112.24	435.42	146.41	482.65	126.60	698.89	96.40	957.48	840.96	61.80	163.31	402.81	189.92	32.80	71.85	102.74	82.93	127.54	944.93	105.42	19.95	1829.37	1418.44	138.08	152.90	144.08	137.17	134.89	139.82	150.22	142.98	133.37	135.40	139.67	130.92	147.29	303.61	138.63	132.13	96.20	180.13	77.02	79.25	395.41	1172.31	780.80	0.00
IA_13No8	69.38	114.29	74.17	338.89	73.42	108.85	146.10	266.95	97.02	69.51	59.56	249.89	113.42	101.19	89.86	55.87	115.22	220.33	147.29	881.51	81.91	60.11	49.83	82.41	93.02	541.40	141.85	718.37	87.65	950.36	65.38	1078.24	1051.49	48.41	124.98	616.34	115.21	32.97	41.17	93.93	54.51	102.39	1015.84	101.93	14.04	1974.65	1832.15	129.47	140.74	123.45	124.56	128.02	116.53	128.90	132.49	110.82	110.83	116.53	100.73	130.86	338.38	121.63	97.42	87.37	175.09	63.57	59.51	562.29	1056.72	1520.29	0.00
JEL238	49.35	34.36	41.89	215.17	39.93	45.06	54.30	178.18	36.29	35.33	43.22	206.09	43.43	33.54	44.43	40.51	39.94	268.13	19.35	296.44	47.04	36.73	41.54	47.40	27.92	335.21	43.49	730.51	39.98	532.39	46.52	866.88	673.36	30.00	46.47	529.62	58.41	24.18	44.31	38.27	38.34	41.61	342.70	30.72	26.91	1073.82	701.14	36.26	41.08	39.94	35.40	52.11	39.68	37.50	43.01	34.81	38.43	36.63	36.79	43.51	153.74	54.57	39.70	48.69	98.72	28.05	32.80	339.47	491.05	224.24	0.00
JEL240	76.74	56.02	54.80	143.22	62.00	53.82	52.74	102.62	50.76	41.12	57.27	103.38	66.52	40.27	60.65	36.55	52.61	68.58	48.95	704.68	48.85	37.94	31.53	64.98	46.66	138.26	84.90	123.80	53.88	200.26	15.17	470.46	295.98	33.04	54.03	92.59	83.83	29.33	33.24	48.43	32.94	50.13	425.24	41.88	40.39	822.64	379.98	57.44	87.70	87.44	57.42	83.78	60.14	58.27	84.24	56.71	57.53	57.74	58.04	62.84	124.06	61.52	56.89	61.78	70.71	49.18	43.34	160.67	578.82	453.14	0.00
JEL267	87.99	76.61	88.43	213.99	97.99	116.52	102.01	185.53	98.74	76.72	85.24	195.47	54.68	87.18	93.92	73.94	72.18	224.90	34.19	1160.23	82.76	65.60	77.02	75.25	65.80	258.74	114.67	454.55	83.76	369.21	70.82	471.42	451.31	66.53	83.11	360.17	101.87	44.08	93.39	69.31	69.98	82.02	458.80	66.88	54.82	616.55	498.90	73.56	92.24	81.41	74.81	75.74	80.74	81.00	79.98	73.48	77.06	76.76	77.29	86.04	167.83	78.45	62.95	75.34	120.79	55.80	77.99	274.48	816.72	1058.32	0.00
JEL270	230.58	118.87	120.03	382.31	154.42	122.44	144.73	260.03	174.73	103.33	150.40	238.23	144.01	98.30	161.82	55.01	155.39	216.50	101.02	1247.88	113.19	135.95	104.46	143.35	98.96	373.10	161.48	505.42	111.72	780.50	81.04	2205.81	778.39	98.12	111.60	219.07	153.73	101.03	131.83	180.74	69.35	126.33	1205.95	143.39	17.38	3120.63	2212.27	166.91	184.77	181.29	169.01	173.19	174.87	118.32	171.49	114.06	167.29	129.58	153.18	138.99	398.99	170.54	115.05	167.57	203.67	95.22	122.66	504.12	1411.18	941.35	0.27
JEL271	95.77	69.74	77.86	206.06	82.66	92.91	76.83	172.13	69.96	73.54	86.19	180.48	65.82	62.32	81.18	63.80	69.09	194.88	38.10	823.07	71.38	61.39	67.51	85.89	63.49	230.62	109.80	390.12	60.67	361.40	53.07	653.46	333.16	68.58	73.26	276.33	77.60	55.58	91.22	64.85	51.66	75.76	453.70	48.21	38.59	776.47	834.13	72.56	93.52	92.31	69.03	88.00	73.54	71.96	74.14	47.80	89.06	50.05	67.65	77.90	167.05	71.05	54.35	74.13	112.00	51.88	64.27	334.75	761.10	926.39	0.00
JEL274	191.99	157.97	96.83	269.79	130.25	119.03	135.86	281.85	106.58	107.21	137.43	245.69	133.48	85.50	128.51	113.58	151.70	167.38	72.87	1565.78	115.57	84.99	106.80	143.80	90.79	471.05	163.49	338.07	115.82	431.26	52.52	683.13	813.44	86.16	128.86	282.87	163.70	97.67	92.75	117.32	77.73	131.32	844.75	90.47	44.68	222.61	720.84	169.15	176.11	183.80	169.08	168.06	169.90	117.21	168.67	117.31	169.67	164.97	162.31	171.60	218.56	170.30	118.46	168.54	189.10	98.46	126.10	270.09	1235.51	1393.23	0.13
JEL275	152.39	116.28	113.45	264.05	159.48	128.38	128.88	273.91	151.68	106.07	133.12	265.02	83.49	127.05	159.96	101.39	107.41	235.33	54.72	2481.60	108.58	129.08	140.49	123.53	100.97	379.44	149.47	508.55	101.68	372.16	82.28	567.36	622.65	108.31	138.78	361.74	128.61	107.71	114.46	94.32	91.73	118.26	600.30	118.50	64.75	383.16	632.98	111.65	134.76	124.66	111.55	111.72	116.83	115.58	118.12	77.32	116.61	81.62	109.57	127.52	230.83	128.27	118.30	131.95	167.36	85.51	121.69	375.27	1187.99	2137.63	0.00
JEL289	34.22	27.83	23.62	119.63	28.60	36.13	42.67	104.85	30.97	36.83	29.46	107.81	24.00	31.57	31.92	27.15	36.53	137.46	11.10	399.07	33.94	25.71	25.64	27.93	26.13	144.80	38.93	309.13	29.15	231.81	48.27	313.73	266.52	17.90	36.41	261.55	40.30	21.18	29.36	38.69	26.21	32.55	235.14	22.44	19.53	367.01	182.66	32.17	34.63	33.09	32.19	32.26	33.01	33.02	34.37	31.61	32.67	32.55	31.35	35.65	74.68	33.12	22.26	30.22	57.55	20.20	24.43	136.62	348.30	535.62	0.00
JEL310	45.33	37.23	27.67	84.21	38.55	43.96	38.35	76.56	37.69	37.55	43.93	78.51	29.97	29.73	37.14	30.50	34.52	72.67	14.08	398.28	36.03	35.83	32.05	40.50	32.04	88.50	46.71	132.04	30.84	120.81	29.38	192.16	127.49	34.75	42.42	99.59	41.90	34.05	40.98	25.24	24.53	39.60	204.41	31.39	19.80	245.66	242.34	35.95	38.02	38.36	36.12	40.75	38.70	37.30	38.33	24.75	37.12	26.45	35.39	40.62	65.97	37.35	28.11	38.56	49.68	26.98	28.89	101.40	365.47	402.44	0.00
JEL359	27.31	27.38	23.31	85.64	28.02	38.50	31.91	69.98	27.55	25.61	30.02	82.32	18.17	29.14	28.49	23.94	24.25	97.56	10.00	469.48	30.20	22.75	27.29	26.95	24.36	122.46	38.40	221.68	22.45	151.61	25.83	223.77	210.48	20.65	31.28	187.74	30.11	15.49	26.88	19.52	20.69	29.03	151.87	19.69	15.98	405.71	126.68	23.87	26.83	28.15	24.71	25.10	27.56	27.26	28.58	16.35	26.44	24.99	19.69	30.05	59.73	26.81	21.64	25.44	42.88	20.39	22.67	122.61	295.39	401.43	0.00
JEL408	103.95	79.58	82.59	260.73	92.74	105.65	100.31	246.90	82.19	81.65	101.31	244.68	55.30	71.31	93.05	79.37	72.69	285.04	44.57	721.93	99.64	78.71	88.84	76.79	71.39	341.08	124.28	570.84	71.85	554.68	65.76	728.75	595.34	77.27	92.66	494.06	94.30	60.51	88.56	57.41	72.26	84.42	551.66	62.17	56.00	924.94	938.11	76.66	98.75	109.84	78.17	78.57	85.40	83.15	85.03	60.59	89.56	74.21	66.13	89.18	216.70	81.63	79.75	85.06	137.20	60.26	72.24	528.55	873.30	847.01	0.00
JEL410	45.47	25.94	25.31	136.99	31.93	34.77	39.18	91.11	25.43	21.30	39.18	87.24	24.77	22.69	26.23	19.75	20.94	113.13	25.74	4532.98	33.54	20.16	28.11	22.20	22.76	171.11	38.46	186.65	26.30	431.30	18.56	561.86	499.06	17.83	32.45	255.42	40.82	15.41	23.69	23.34	17.16	19.45	363.16	23.17	20.93	893.87	352.15	27.41	43.43	43.41	27.58	27.78	30.77	29.59	30.19	27.10	28.10	28.82	28.45	31.95	115.84	27.47	27.24	29.77	64.48	17.86	24.06	222.28	507.88	3701.39	0.00
JEL412	69.81	44.31	48.27	329.79	45.52	51.56	65.93	244.95	52.00	50.62	71.40	200.23	45.73	49.64	48.84	55.90	46.78	236.23	47.63	856.18	61.47	42.85	51.14	59.44	40.92	526.27	45.31	655.53	60.98	1507.51	34.29	2342.97	1685.17	24.69	58.29	847.10	102.12	28.14	33.55	39.20	42.66	45.91	544.93	54.10	42.49	3344.12	989.62	51.96	57.75	54.97	50.61	51.37	57.47	52.79	57.15	50.88	52.55	51.64	51.56	57.76	332.20	51.17	51.16	54.33	136.80	35.39	40.40	772.39	936.62	1076.95	0.00
JEL413	96.84	74.09	54.09	190.97	77.15	71.32	81.23	150.29	64.38	56.44	72.84	119.73	56.82	59.21	70.31	47.59	67.16	127.09	52.84	1340.91	74.49	53.85	56.84	55.78	52.05	234.33	93.52	181.47	70.05	450.66	40.05	818.78	686.07	47.55	62.08	273.32	114.37	38.29	54.05	57.55	37.74	59.70	611.66	53.93	52.42	1027.21	504.65	74.60	112.17	112.68	73.41	72.26	79.07	77.44	75.19	72.22	74.07	74.12	72.44	80.47	198.33	76.40	72.23	74.39	104.86	41.81	56.71	326.85	681.74	1403.30	0.00
JEL423	202.84	166.07	129.18	424.70	157.65	140.18	176.96	395.36	145.03	126.50	174.34	299.84	129.70	114.74	168.45	102.68	150.99	284.30	138.58	1267.62	130.44	115.17	132.19	145.45	129.17	535.06	207.04	554.08	128.83	1031.69	91.62	1427.33	1074.31	111.12	160.88	630.72	180.50	90.15	103.35	122.43	100.54	167.10	1288.80	109.12	105.48	2077.60	1251.56	170.70	217.74	261.62	171.74	170.00	179.31	169.25	175.66	129.55	198.48	132.74	135.14	181.20	403.00	173.64	160.79	173.97	228.46	104.03	114.14	793.74	1604.41	1244.56	0.00
JEL423_PA	45.71	38.69	29.32	108.80	39.42	28.60	48.64	103.89	38.23	32.12	29.61	82.60	35.58	25.74	48.81	21.44	48.48	94.69	34.41	197.21	33.53	30.14	27.48	31.71	30.38	135.46	49.62	171.13	28.68	298.57	36.23	345.26	235.10	18.54	42.42	204.82	44.19	31.41	19.73	43.29	26.53	41.98	363.62	35.20	29.83	490.00	230.28	44.19	57.81	66.02	44.73	44.23	45.02	43.86	44.61	33.18	45.16	33.47	33.41	46.16	96.54	44.60	39.74	42.14	56.88	22.07	23.42	172.82	367.59	168.12	0.00
JEL427	40.36	28.57	34.98	94.63	35.88	43.75	35.99	97.73	34.44	28.64	39.32	90.66	27.55	26.64	36.31	30.00	27.68	96.83	16.71	335.64	32.04	31.96	37.85	36.63	28.77	119.45	47.69	195.62	35.60	184.51	25.30	270.48	198.18	27.58	46.21	165.81	40.63	26.38	30.55	21.87	28.00	35.40	218.28	37.11	20.66	332.08	339.62	28.02	39.04	39.35	28.48	36.80	31.17	33.41	38.97	28.05	32.31	29.21	29.89	33.15	79.82	29.81	30.75	30.80	53.30	26.46	29.74	170.31	384.59	406.74	0.00
JEL427-P17	35.96	14.63	38.02	213.69	41.22	41.09	41.87	239.17	20.68	34.33	47.39	232.90	18.21	27.98	52.28	36.30	21.34	307.49	15.86	397.95	27.44	33.91	40.91	51.67	16.60	493.00	43.63	939.68	45.20	1715.39	14.47	2421.03	1373.04	15.42	63.57	974.17	72.13	14.52	11.88	24.23	36.80	47.42	474.45	40.92	23.66	3299.30	547.53	17.15	30.49	29.48	18.42	25.24	24.29	21.26	33.75	17.38	27.77	19.76	22.80	25.73	269.39	25.03	24.18	23.53	111.10	29.41	35.57	490.50	585.42	373.51	0.00
JEL427-P39	22.27	13.89	17.85	70.03	14.31	15.97	18.36	68.16	18.35	12.47	16.51	57.08	17.98	8.00	16.75	14.61	15.83	52.32	19.83	127.08	10.71	15.07	15.83	20.65	12.40	115.14	16.67	188.28	19.17	364.28	8.18	546.64	362.24	8.08	23.34	228.11	27.63	11.28	6.96	16.46	13.17	13.20	210.95	34.58	8.41	779.22	246.76	16.28	18.27	21.47	16.37	20.60	17.75	16.39	21.40	16.02	16.67	15.56	19.33	18.06	81.83	16.93	15.78	17.44	40.13	10.81	11.70	134.76	210.29	198.43	0.33
JEL427-P9	28.30	13.69	23.96	130.44	27.62	27.41	28.98	130.98	17.73	17.69	30.12	135.04	24.62	19.11	32.28	21.68	15.99	157.30	12.06	324.53	16.02	23.55	22.19	37.05	11.72	252.84	29.82	481.00	28.50	894.68	9.68	1334.35	739.56	9.75	33.63	477.27	43.96	9.42	8.92	16.61	22.53	25.15	319.42	30.55	19.31	1844.16	519.90	15.80	25.16	23.92	16.34	25.71	19.69	18.08	26.78	15.67	22.83	17.10	18.96	22.81	157.42	17.02	15.07	21.02	68.36	19.75	24.67	310.87	425.27	302.09	0.00
JEL429	105.58	92.42	129.12	202.54	80.14	93.69	82.13	194.25	93.85	62.32	106.30	200.34	68.69	104.89	82.11	75.08	70.94	189.98	32.17	1270.37	82.64	67.02	70.48	74.06	63.11	231.22	108.58	380.87	83.41	353.65	71.77	583.18	337.60	70.89	81.53	309.93	99.56	45.39	78.93	62.71	65.84	79.99	539.57	72.64	86.14	744.02	741.61	72.11	80.70	101.47	73.39	90.67	77.73	77.29	79.44	72.38	74.94	92.86	75.94	100.39	179.94	92.32	61.73	95.42	119.27	55.32	63.71	312.14	876.71	963.64	0.04
JEL433	113.71	82.33	92.48	186.80	90.19	116.77	99.65	185.06	118.78	104.17	105.45	168.38	50.54	98.98	90.09	89.06	73.56	153.48	34.46	3183.34	90.56	108.97	92.37	81.11	73.50	195.60	118.10	257.83	95.09	262.09	75.59	277.35	290.79	80.07	86.24	256.02	119.15	50.59	105.56	77.42	77.46	86.64	417.96	98.28	59.63	342.41	331.01	71.61	79.74	83.57	74.68	75.08	84.53	81.67	82.52	72.63	79.15	76.89	97.59	89.86	152.42	79.65	85.23	85.15	117.84	63.93	94.62	198.38	794.53	2575.05	0.00
JEL627	33.95	21.22	30.64	79.27	29.53	31.59	29.91	78.12	22.99	28.04	27.74	75.69	12.91	26.58	35.79	23.73	29.67	89.05	19.69	246.36	30.31	25.32	26.62	21.14	22.47	90.86	39.85	180.43	27.99	158.31	24.44	265.45	141.33	20.64	38.00	142.08	35.71	22.56	26.10	27.01	23.36	31.37	164.14	26.07	15.88	241.47	165.68	24.73	37.99	36.03	24.97	24.91	26.28	25.27	26.35	24.64	25.15	24.48	24.91	27.61	53.30	25.57	25.45	25.42	41.87	17.76	23.55	74.15	312.23	357.60	0.00
KB108	244.07	176.39	124.67	361.19	185.90	312.82	155.68	448.18	244.25	120.66	98.95	294.38	95.19	160.60	134.52	140.37	130.91	261.81	84.57	1490.50	171.73	118.22	135.22	130.65	119.66	364.57	228.76	888.52	162.55	649.55	105.24	761.91	862.54	95.29	154.74	531.61	233.93	68.38	231.45	198.70	89.09	162.52	1034.25	128.06	118.19	1650.65	565.95	169.85	172.35	196.11	144.57	186.48	152.23	153.73	159.24	141.57	187.67	145.29	141.81	190.87	323.68	189.91	166.76	183.93	265.86	86.94	164.53	501.96	901.97	1309.69	0.06
KB23	166.59	116.74	107.86	255.10	171.31	228.48	123.71	301.27	142.50	88.03	74.17	204.19	57.45	107.29	116.68	113.76	91.28	218.22	65.06	1298.10	136.41	79.23	105.71	79.83	93.13	315.38	196.38	815.01	120.57	425.43	83.29	430.68	1099.86	84.56	119.52	423.51	184.53	51.69	183.62	139.79	63.12	120.29	671.25	78.56	82.92	1281.10	320.44	112.21	167.55	154.41	121.86	113.08	117.29	116.64	127.39	110.94	120.20	113.79	110.61	125.68	208.55	126.08	98.39	124.81	186.42	68.96	141.16	314.11	688.67	1090.89	0.00
KB347	124.72	86.63	75.78	199.33	107.85	108.08	69.72	314.40	80.42	67.72	64.95	133.09	89.28	83.89	101.37	69.53	83.98	198.92	43.79	1034.37	67.93	38.56	61.69	72.48	49.54	313.61	49.74	561.30	73.74	413.96	52.78	221.85	328.82	67.32	87.00	725.02	125.49	41.47	104.15	40.94	49.64	69.11	588.50	55.56	76.05	700.06	420.49	85.02	127.38	96.83	87.44	111.93	88.58	87.83	100.57	84.58	90.69	90.24	102.05	93.21	169.50	97.80	77.67	91.95	117.70	56.45	100.31	378.58	649.61	999.40	572.69
KB45	123.01	73.89	83.12	169.29	112.98	161.98	70.92	174.44	152.79	59.35	60.52	124.97	68.99	110.89	85.87	86.33	75.11	84.15	42.67	981.12	98.60	76.93	82.68	80.80	78.37	145.82	119.53	183.27	91.49	164.30	60.36	172.40	216.81	64.95	86.57	127.42	128.84	41.42	132.58	103.79	47.76	98.34	444.92	89.14	68.68	273.36	111.50	96.07	107.12	99.26	96.88	126.48	74.62	97.90	98.11	70.96	100.96	73.03	72.08	101.25	140.78	98.38	73.23	97.60	113.23	55.04	100.75	118.98	455.40	836.79	0.00
KB72	113.71	77.23	69.92	181.26	115.26	175.70	83.76	210.92	90.94	62.00	47.46	143.17	41.25	68.26	83.56	77.28	60.47	153.63	50.79	741.15	101.29	51.75	75.01	55.28	61.53	182.75	174.60	422.60	85.06	287.55	55.76	333.52	608.58	57.64	75.74	209.66	123.61	38.35	113.79	103.35	44.06	80.01	460.50	56.41	56.09	721.69	251.38	77.78	116.72	115.26	78.46	79.73	80.27	80.24	85.46	76.63	83.61	78.53	76.08	92.75	143.10	83.55	76.64	83.39	124.50	46.35	99.95	229.38	461.44	676.76	0.06
KBO_319	202.30	166.55	146.18	376.14	154.85	192.51	112.47	529.06	175.17	114.98	125.37	250.25	143.55	163.70	161.35	119.10	158.37	307.29	73.15	1072.81	109.77	83.61	104.77	128.02	98.88	477.18	96.92	743.49	115.19	576.94	114.38	398.89	412.23	118.23	149.67	962.66	196.97	77.53	182.17	81.50	101.55	137.92	944.62	120.66	128.67	908.52	712.31	166.21	191.00	167.86	166.15	180.74	134.10	167.82	171.65	126.35	186.24	130.00	179.24	175.38	296.10	176.18	160.44	164.30	211.31	98.03	154.03	561.58	1104.81	1358.13	770.45
KRBOOR_317	173.58	184.09	141.53	332.19	162.82	146.74	98.45	552.83	122.76	113.33	140.70	264.10	158.54	110.00	165.96	105.51	144.41	283.95	60.60	476.02	88.14	65.23	100.15	111.96	75.74	461.84	86.64	552.49	124.42	594.20	84.81	387.02	418.44	108.01	140.09	699.85	206.80	71.41	153.28	113.23	78.61	126.87	837.92	93.41	111.09	799.61	623.72	137.37	202.16	141.18	137.42	196.24	141.93	138.84	143.82	136.67	143.08	139.22	132.96	194.40	244.11	141.94	83.21	135.01	197.21	81.86	179.80	501.06	1008.58	732.66	805.31
KRBOOR_323	178.14	163.87	140.69	389.61	169.13	175.03	122.87	614.12	146.02	127.66	129.66	285.63	192.40	137.09	188.24	109.46	157.94	236.79	75.40	1575.04	100.69	73.32	117.79	150.70	82.19	486.43	74.96	701.14	111.28	597.11	95.95	345.76	489.42	119.72	165.47	906.71	252.59	80.01	173.44	75.33	83.23	141.49	968.38	86.61	147.34	881.38	782.64	165.86	226.10	172.36	166.07	235.27	170.24	168.80	174.05	161.69	171.52	168.69	157.33	179.61	288.66	171.52	149.21	161.81	209.79	96.21	180.16	577.98	1192.96	1752.98	387.77
L2203	114.12	85.15	51.59	213.13	72.42	84.55	79.58	224.46	73.62	36.27	94.57	146.18	100.72	73.64	90.34	56.23	75.31	83.89	39.88	1787.51	69.68	56.98	76.89	103.34	65.82	268.68	102.97	237.50	82.63	527.00	47.89	990.83	800.52	62.90	78.42	313.62	123.00	45.73	60.48	87.82	28.41	84.81	662.78	61.42	56.29	1492.20	1002.60	84.24	102.82	90.28	84.71	125.37	89.56	88.23	96.13	84.06	97.41	85.17	94.07	93.30	230.56	86.54	57.56	86.64	119.86	55.07	42.82	393.18	809.38	1096.12	0.00
LBAbercrom	76.68	57.85	62.97	149.45	71.75	74.87	74.59	140.56	59.40	60.75	73.08	141.22	42.35	52.74	77.43	56.82	55.68	132.66	39.82	600.55	67.91	56.11	64.90	45.26	52.08	170.62	94.17	256.87	64.72	243.17	65.76	391.44	242.19	55.76	85.25	194.45	81.67	45.34	52.22	43.45	56.01	59.53	414.28	49.53	61.97	508.26	593.65	57.64	80.07	86.92	57.86	57.53	62.15	60.93	62.02	57.28	59.70	59.59	64.32	65.96	120.38	60.03	62.37	62.53	88.68	44.74	51.30	209.72	622.15	651.03	0.00
LFT001_10	172.77	93.91	134.64	347.41	144.91	179.04	114.93	467.78	167.81	140.35	107.28	459.32	82.56	149.38	168.69	107.09	125.47	402.59	62.08	430.30	153.80	150.82	119.74	101.74	124.34	441.59	249.61	731.99	147.02	661.59	182.84	651.61	834.26	91.93	208.40	565.68	180.60	104.48	147.81	209.46	101.38	188.19	722.79	140.99	76.14	988.21	466.56	107.68	156.24	154.25	109.57	113.08	115.35	114.71	121.76	99.73	113.98	109.91	110.79	135.73	249.00	117.73	111.71	110.06	211.16	82.54	143.51	364.18	940.71	548.87	0.00
LHURS8_CH	59.03	92.14	59.99	210.47	74.19	105.76	97.50	139.05	137.06	58.44	72.29	151.55	70.80	155.77	70.64	50.15	76.81	102.47	67.08	621.04	72.80	90.84	43.71	76.76	71.21	216.34	95.92	357.60	74.11	366.37	52.93	653.76	558.45	40.67	98.19	245.29	112.66	17.64	49.32	56.01	45.05	74.70	614.52	101.06	10.23	1083.47	662.72	86.54	104.86	92.15	84.33	91.64	87.70	100.78	90.06	82.93	84.56	84.24	81.90	98.91	252.37	88.40	84.16	62.11	111.29	49.97	53.51	203.78	705.00	907.98	0.00
